name,url,type,first_color,last_image_url
Organza shirt,https://us.maje.com/en/p/organza-shirt/MFPCM00595_10.html,shirt,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwcb425bfa/images/packshot/Maje_MFPCM00595-10_F_P.jpg?sw=1520&sh=2000
Beaded satin floral skirt,https://us.maje.com/en/p/beaded-satin-floral-skirt/MFPJU01306_10.html,skirt,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd22b16cd/images/packshot/Maje_MFPJU01306-10_F_P.jpg?sw=1520&sh=2000
Lace maxi dress,https://us.maje.com/en/p/lace-maxi-dress/MFPRO03777_2517.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2023f3d5/images/packshot/Maje_MFPRO03777-2517_F_P.jpg?sw=1520&sh=2000
Cotton patchwork maxi dress,https://us.maje.com/en/p/cotton-patchwork-maxi-dress/MFPRO03698_0101.html,dress,Ecru,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw37fbd33f/images/packshot/Maje_MFPRO03698-0101_F_P.jpg?sw=1520&sh=2000
Short cotton patchwork dress,https://us.maje.com/en/p/short-cotton-patchwork-dress/MFPRO03699_0101.html,dress,Ecru,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw274cb54d/images/packshot/Maje_MFPRO03699-0101_F_P.jpg?sw=1520&sh=2000
Lace shirt,https://us.maje.com/en/p/lace-shirt/MFPCM00580_10.html,shirt,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0826a1da/images/packshot/Maje_MFPCM00580-10_F_P.jpg?sw=1520&sh=2000
Short lamé dress,https://us.maje.com/en/p/short-lame-dress/MFPRO03842_2517.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd46edd56/images/packshot/Maje_MFPRO03842-2517_F_P.jpg?sw=1520&sh=2000
Ruffled dress,https://us.maje.com/en/p/ruffled-dress-/MFPRO03905_B018.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw89e518eb/images/packshot/Maje_MFPRO03905-B018_F_P.jpg?sw=1520&sh=2000
Oversized leather jacket,https://us.maje.com/en/p/oversized-leather-jacket/MFPBL00745_G005.html,jacket,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb52a8ca6/images/packshot/Maje_MFPBL00745-G005_F_P.jpg?sw=1520&sh=2000
Leather jacket,https://us.maje.com/en/p/leather-jacket-/MFPBL00747_2517.html,jacket,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwac9e2ae9/images/packshot/Maje_MFPBL00747-2517_F_P.jpg?sw=1520&sh=2000
Leather trousers,https://us.maje.com/en/p/leather-trousers/MFPPA00685_2517.html,trousers,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6bf81bcd/images/packshot/Maje_MFPPA00685-2517_F_P.jpg?sw=1520&sh=2000
Denim jeans with pockets,https://us.maje.com/en/p/denim-jeans-with-pockets/MFPJE00654_0369.html,pockets,Dark blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw32fa14de/images/packshot/Maje_MFPJE00654-0369_F_P.jpg?sw=1520&sh=2000
Cargo jeans,https://us.maje.com/en/p/cargo-jeans/MFPJE00614_2517.html,jeans,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw555c030b/images/packshot/Maje_MFPJE00614-2517_F_P.jpg?sw=1520&sh=2000
Straight-leg jeans,https://us.maje.com/en/p/straight-leg-jeans/MFPJE00615_0201.html,jeans,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw11c98836/images/packshot/Maje_MFPJE00615-0201_F_P.jpg?sw=1520&sh=2000
Flared jeans,https://us.maje.com/en/p/flared-jeans/MFPJE00662_2517.html,jeans,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8cfaf16f/images/packshot/Maje_MFPJE00662-2517_F_P.jpg?sw=1520&sh=2000
Embroidered high-waisted jeans,https://us.maje.com/en/p/embroidered-high-waisted-jeans/MFPJE00637_10.html,jeans,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf2eba517/images/packshot/Maje_MFPJE00637-10_F_P.jpg?sw=1520&sh=2000
Straight-leg braided detail jeans,https://us.maje.com/en/p/straight-leg-braided-detail-jeans/MFPJE00604_0201.html,jeans,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1d8293a9/images/packshot/Maje_MFPJE00604-0201_F_P.jpg?sw=1520&sh=2000
Smocked denim skirt,https://us.maje.com/en/p/smocked-denim-skirt/MFPJU01277_D018.html,skirt,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5c796652/images/packshot/Maje_MFPJU01277-D018_F_P.jpg?sw=1520&sh=2000
Denim skort,https://us.maje.com/en/p/denim-skort/MFPSH00599_0369.html,skort,Dark blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8977ee2b/images/packshot/Maje_MFPSH00599-0369_F_P.jpg?sw=1520&sh=2000
Cutaway denim maxi dress,https://us.maje.com/en/p/cutaway-denim-maxi-dress/MFPRO03697_D018.html,dress,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe45ec5ae/images/packshot/Maje_MFPRO03697-D018_F_P.jpg?sw=1520&sh=2000
