Name,Type,Color,Image_URL
PARFAIT TOP,TOP,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a01_117423_30654_off_a.jpg
CONTOUR TUBE TOP,TOP,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a01_118415_2819_off_a.jpg
THE 80S COMFY DENIM SHIRT,SHIRT,7 YRS PCTR THS BLEU,https://assets.aritzia.com/image/upload/medium/f24_a02_103330_25606_off_a.jpg
LADDER SKIRT,SKIRT,SHADY BLUE,https://assets.aritzia.com/image/upload/medium/f24_a07_111349_29771_off_a.jpg
PACINO VEST,VEST,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a04_113937_11420_off_a.jpg
THE SUPERSNUG PUFF™ LONG,LONG,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a05_120526_1274_off_a.jpg
BARE CASHMERE CREW SWEATER,SWEATER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_121630_1274_off_a.jpg
EQUITY PANT,PANT,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a06_121771_1274_off_a.jpg
DUA SKIRT,SKIRT,HEATHER CHROME,https://assets.aritzia.com/image/upload/medium/f24_a07_122803_4425_off_a.jpg
OTTILIA COAT,COAT,SAVILLE,https://assets.aritzia.com/image/upload/medium/f24_a05_120865_19170_off_a.jpg
THE SUPERSNUG PUFF™,PUFF™,BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a05_119939_1564_off_a.jpg
